province,district,price,latitude,longitude
Sindh,Khairpur,6765,27.5295,68.7592
Sindh,Sukkur,192,27.7052,68.8574
Sindh,Sukkur,6765,27.7052,68.8574
Punjab,Chiniot,7000,31.7204,72.9784
Punjab,Layyah,192,30.9613,70.939
Punjab,Chiniot,192,31.7204,72.9784
Punjab,Chiniot,7000,31.7204,72.9784
Punjab,Kasur,192,31.1165,74.4463
Sindh,Matiari,6750,25.5989,68.4461
Sindh,Tando Allahyar,6750,25.4563,68.7181
KPK,Dera Ismail Khan,6820,31.832,70.9017
Sindh,Mirpur Khas,6730,25.5251,69.0158
Sindh,Larkana,6730,27.5609,68.2264
Punjab,Sargodha,192,32.0836,72.6711
Punjab,Sargodha,6840,32.0836,72.6711
Punjab,Kasur,192,31.1165,74.4463
Punjab,Sargodha,6990,32.0836,72.6711
Punjab,Rahim Yar Khan,192,28.4202,70.303
Punjab,Rahim Yar Khan,6825,28.4202,70.303
Punjab,Chiniot,192,31.7204,72.9784
Punjab,Chiniot,7020,31.7204,72.9784
Sindh,Khairpur,192,27.5295,68.7592
Sindh,Khairpur,6730,27.5295,68.7592
Punjab,Chiniot,192,31.7204,72.9784
Sindh,Nawab Shah,192,26.2442,68.4106
Sindh,Nawab Shah,6730,26.2442,68.4106
Sindh,Sanghar,192,26.0459,68.9497
Sindh,Sanghar,6730,26.0459,68.9497
Sindh,Ghotki,192,28.0035,69.3178
Punjab,Mandi Bahauddin,192,32.5868,73.4914
Punjab,Mandi Bahauddin,7100,32.5868,73.4914
Sindh,Sujawal,6750,24.6077,68.0782
Punjab,Muzaffargarh,192,30.0703,71.1936
Punjab,Sargodha,192,32.0836,72.6711
Punjab,Sargodha,6950,32.0836,72.6711
Sindh,Mirpur Khas,192,25.5251,69.0158
Sindh,Mirpur Khas,6725,25.5251,69.0158
Punjab,Rahim Yar Khan,6750,28.4202,70.303
Punjab,Okara,192,30.8081,73.4458
Punjab,Faisalabad,192,31.4504,73.135
Sindh,Badin,192,24.655,68.8385
KPK,Peshawar,192,34.0151,71.5249
KPK,Mardan,192,34.2009,72.045
Punjab,Sargodha,192,32.0836,72.6711
Punjab,Samundari,192,31.0629,72.9612
Punjab,Sheikhupura,192,31.7131,73.9783
